Episode #,Title,Rating
0,Help Wanted,8.7
1,Reef Blower,8.7
2,Tea at the Treedome,8.7
3,BubbleStand,8.5
4,Ripped Pants,8.5
5,Jellyfishing,8.4
6,Plankton!,8.4
7,Naughty Nautical Neighbors,8.5
8,Boating School,8.5
9,Pizza Delivery,9.1
10,Home Sweet Pineapple,9.1
11,Mermaidman and Barnacleboy,8.5
12,Pickles,8.5
13,Hall Monitor,8.5
14,Jellyfish Jam,8.5
15,Nature Pants,8.4
16,Opposite Day,8.4
17,Sandy's Rocket,8.2
18,Squeaky Boots,8.2
19,Culture Shock,8.7
20,F.U.N.,8.7
21,MuscleBob BuffPants,8.4
22,Squidward the Unfriendly Ghost,8.4
23,Scaredy Pants,8.3
24,I Was a Teenage Gary,8.3
25,SB-129,9.1
26,Karate Choppers,9.1
27,Sleepy Time,8.7
28,Suds,8.7
29,The Chaperone,8.3
30,Employee of the Month,8.3
31,Valentine's Day,8.4
32,The Paper,8.4
33,Arrgh!,9.2
34,Rock Bottom,9.2
35,Texas,8.4
36,Walking Small,8.4
37,Fools in April,8.4
38,Neptune's Spatula,8.4
39,Something Smells,8.6
40,Bossy Boots,8.6
41,Big Pink Loser,8.8
42,Bubble Buddy,8.8
43,Christmas Who?,8.7
44,Hooky,8.7
45,Mermaidman and Barnacleboy II,8.7
46,Dying for Pie,9.2
47,Imitation Krabs,9.2
48,Your Shoe's Untied,8.8
49,Squid's Day Off,8.8
50,Wormy,8.7
51,Patty Hype,8.7
52,Shanghaied,9.0
53,Gary Takes a Bath,9.0
54,No Free Rides,8.4
55,I'm Your Biggest Fanatic,8.4
56,Grandma's Kisses,8.6
57,Squidville,8.6
58,PreHibernation Week,8.9
59,Life of Crime,8.9
60,Pressure,8.5
61,The Smoking Peanut,8.5
62,Survival of the Idiots,8.7
63,Dumped,8.7
64,The Secret Box,9.7
65,Band Geeks,9.7
66,Mermaidman and Barnacleboy III,8.7
67,Squirrel Jokes,8.7
68,Sailor Mouth,9.2
69,Artist Unknown,9.2
70,Jellyfish Hunter,8.9
71,The Fry Cook Games,8.9
72,Just One Bite,9.0
73,The Bully,9.0
74,Squid on Strike,8.7
75,"Sandy, SpongeBob, and the Worm",8.7
76,Procrastination,8.5
77,I'm with Stupid,8.5
78,Welcome to the Chum Bucket,9.2
79,Frankendoodle,9.2
80,Mermaidman and Barnacleboy IV,8.6
81,Doing Time,8.6
82,Graveyard Shift,9.3
83,Krusty Love,9.3
84,Snowball Effect,9.0
85,One Krab's Trash,9.0
86,Nasty Patty,9.5
87,Idiot Box,9.5
88,As Seen on TV,8.7
89,Can You Spare a Dime?,8.7
90,Club SpongeBob,9.1
91,My Pretty Seahorse,9.1
92,No Weenies Allowed,9.0
93,Squilliam Returns,9.0
94,The Algae's Always Greener,8.7
95,SpongeGuard on Duty,8.7
96,Krab Borg,8.9
97,Rock-a-Bye Bivalve,8.9
